names,scores,logfoldchanges,pvals,pvals_adj
FTH1,21.09543,0.8641378,8.76053772447457e-99,6.881402382574775e-95
TPT1,19.632627,0.7908358,8.139580909839198e-86,2.131213601559563e-82
PHGDH,19.090408,2.90904,3.033929040933979e-81,3.971918769422734e-78
TMSB4X,18.360218,0.74890566,2.7350913092128914e-75,2.38712691487414e-72
MDK,17.3734,1.1677722,1.3121663123193049e-67,8.589221986056783e-65
EIF1,17.087809,0.55492264,1.8292044754063528e-65,1.1052616272551462e-62
WARS,16.900414,1.8425059,4.467553488443699e-64,2.3395088434483504e-61
FAM89A,16.688559,1.762904,1.5875965809564367e-62,7.378282889228686e-60
XBP1,15.791398,1.4574119,3.5658873653749017e-56,1.3338116788104693e-53
ANAPC16,15.497383,1.1451572,3.6130965071125453e-54,1.2339510027551758e-51
SETD5-AS1,15.422841,1.4782814,1.1493450176654888e-53,3.761710464067673e-51
IFITM2,15.416148,1.4507685,1.2748388900484428e-53,4.0055437925322076e-51
HAX1,15.367915,1.0447412,2.686754288472109e-53,8.117098052287852e-51
MS4A3,15.229217,0.8648875,2.262878538202244e-52,6.583300339843936e-50
ASNS,15.041361,1.7452133,3.933796829031076e-51,1.1035705032871109e-48
MAP1B,15.037091,1.7730247,4.1958486216356455e-51,1.1364962387223447e-48
GHITM,14.799502,0.760705,1.4756970960275843e-49,3.622375215405211e-47
MALAT1,14.719537,0.7861926,4.8295445325384314e-49,1.0838877800882679e-46
EXOSC8,14.541836,1.0042155,6.580372684056593e-48,1.3602323008753824e-45
HMGN1,14.487025,0.48969403,1.4634394020320276e-47,2.873829125740394e-45
TCEA1,14.485064,1.1289374,1.505823488558164e-47,2.884937439664483e-45
CRNDE,14.412945,1.5652765,4.29019270921218e-47,8.023681840681351e-45
PPDPF,14.248976,0.90752214,4.549067418562918e-46,8.121119221093573e-44
CST3,14.228666,0.8150267,6.083053144153196e-46,1.0618307210516302e-43
HERPUD1,14.201088,1.456117,9.020052010497661e-46,1.5402719248360681e-43
SH3BGRL3,13.976077,1.1425598,2.1818706809737695e-44,3.64650940405297e-42
RPS20,13.820646,0.47397485,1.913437453981001e-43,3.1312606668793254e-41
H2AFZ,13.792722,0.6303122,2.819183769084752e-43,4.5193241849307603e-41
RPLP1,13.691294,0.2750534,1.1445285932537558e-42,1.76279845098201e-40
MT-CO2,13.493053,0.5801839,1.7183416708097815e-41,2.454104331674697e-39
RPL9,13.386433,0.42298904,7.258417510514099e-41,9.502478257514708e-39
TRIB3,13.3235445,1.459831,1.6889368528117525e-40,2.174852291612511e-38
CD47,13.096457,1.1127944,3.449911489305603e-39,4.105917386135683e-37
EIF4EBP1,13.081687,0.70719284,4.190371076751287e-39,4.8922101408720546e-37
RTN4,13.080879,0.7939869,4.235140542066196e-39,4.8922101408720546e-37
CD63,13.027569,0.5857038,8.528203565962154e-39,9.708556378352569e-37
CD99,12.895908,1.1652207,4.746375010704583e-38,5.251095170293592e-36
ATF5,12.892562,3.0196512,4.956926506058858e-38,5.407869125707267e-36
CCPG1,12.744978,1.9022464,3.3248560437429256e-37,3.4822325631467574e-35
TRAPPC6A,12.644935,1.0059861,1.1932418015552322e-36,1.2172616040540714e-34
EIF3E,12.512466,0.856382,6.381176681782988e-36,6.426172158385304e-34
S100A11,12.449809,0.9531437,1.4017971978199925e-35,1.3763896236095052e-33
MTHFD2,12.425346,0.87696,1.9039957292738926e-35,1.846405734993386e-33
PTTG1IP,12.217067,1.0773321,2.520138490726583e-34,2.301824167983408e-32
GARS,12.174834,0.9205781,4.232536877732559e-34,3.7780201334760515e-32
GYPC,12.133062,0.5557622,7.056009096689077e-34,6.158327939388078e-32
CKLF,11.975555,1.3339711,4.772331612660561e-33,4.030824173919215e-31
RPS8,11.762545,0.26368672,6.087172950767684e-32,4.92935500291548e-30
RPL7,11.756775,0.4408103,6.517657828926694e-32,5.224102270022365e-30
BEX2,11.726658,1.1858393,9.306079877899613e-32,7.383763377868834e-30
RPL26,11.683041,0.43374336,1.556272577968434e-31,1.2103486237566386e-29
SERPINF1,11.678309,1.1234645,1.6453517699786556e-31,1.2670821718806216e-29
ANXA3,11.667462,2.6596408,1.869147517557155e-31,1.4254518204282965e-29
C11orf31,11.657539,0.7368282,2.100246890006781e-31,1.5862922424041602e-29
RPS3A,11.565227,0.39417627,6.182757757181779e-31,4.5816568096851767e-29
PIM1,11.549188,1.2634382,7.45213966623826e-31,5.470706269000143e-29
TMBIM6,11.528533,0.6447193,9.474452328489726e-31,6.890909540767295e-29
EIF3M,11.488146,0.62969697,1.5132429466702604e-30,1.0805930314631723e-28
UBE2L6,11.296368,1.4076148,1.367585876209423e-29,9.506537219137185e-28
COLGALT2,11.230018,2.0080497,2.904191485326293e-29,1.9497798390801736e-27
RPS16,11.219402,0.25840494,3.274767475283887e-29,2.161621724231507e-27
SLC7A5,11.183862,1.4365582,4.8914044601888474e-29,3.20183183623195e-27
MPLKIP,10.973043,0.80746835,5.150867366072246e-28,3.1609424344138665e-26
RPL30,10.914195,0.29079255,9.859921051982314e-28,5.874855075819413e-26
ATP5G2,10.869654,0.37194213,1.6080942760480063e-27,9.497428976208339e-26
RPS27A,10.846114,0.30725828,2.080842838556873e-27,1.2197776490197193e-25
ASS1,10.784381,4.4097104,4.079824767994549e-27,2.3055412627767753e-25
H2AFV,10.668182,0.5112578,1.4340385497233776e-26,7.71532384114872e-25
RPL12,10.5182905,0.27723065,7.115281967131485e-26,3.701360255087273e-24
RGS16,10.50779,1.3637924,7.953553072701597e-26,4.110207854346779e-24
IGFBP2,10.496597,5.245509,8.955032134263318e-26,4.5676478840674266e-24
AIF1,10.486904,1.4998502,9.922627131325904e-26,5.0285313623590314e-24
PRSS57,10.4569025,1.1108536,1.3623623806964133e-25,6.730412893314671e-24
RPS4X,10.300779,0.2508567,6.989247462425832e-25,3.3889221492194387e-23
GNG5,10.28324,0.5243522,8.385980085880876e-25,3.968185155096041e-23
SSR2,10.275047,0.63274336,9.129929407757654e-25,4.268785446305736e-23
SMYD3,10.224045,0.84100306,1.547454327141288e-24,7.108335520289367e-23
OAZ1,10.137618,0.25205258,3.761607697020351e-24,1.6884244834339918e-22
ACTG1,10.135656,0.6613753,3.837882405255611e-24,1.712873084845615e-22
CALM2,9.944685,0.45773947,2.6601390819464815e-23,1.1418247261579022e-21
GYPB,9.915376,0.7859239,3.5691006360430965e-23,1.5154208376280283e-21
SERP1,9.914337,0.49877238,3.606410881374112e-23,1.5230299716770778e-21
FCGR2A,9.82791,2.1167386,8.537196937712384e-23,3.529456944512146e-21
FXYD5,9.824795,0.6165165,8.805336157105204e-23,3.621252121155046e-21
SHMT2,9.766176,0.86750853,1.5727614632360055e-22,6.3680625225354764e-21
AL592183.1,9.724636,1.3537657,2.367511517888122e-22,9.392324733844041e-21
C7orf73,9.694173,0.80676603,3.192140379914704e-22,1.2600132002125627e-20
HES1,9.691634,1.5743172,3.272501054952769e-22,1.2852747893327e-20
BUD31,9.652863,0.612825,4.780216395521905e-22,1.8588415736051765e-20
RPL23,9.571052,0.30524838,1.058241131717784e-21,4.015692796929079e-20
DYNLL1,9.499509,0.5467111,2.1088179479684336e-21,7.813568387401909e-20
RPL36AL,9.488317,0.43991786,2.3479574281114715e-21,8.618320372811032e-20
TSEN15,9.4717,1.0316235,2.753253562236629e-21,1.005897987505522e-19
PSME1,9.437314,0.9941159,3.824580895107449e-21,1.3908371727346763e-19
PFN1,9.416429,0.2502071,4.6669394864646265e-21,1.6815967736779652e-19
MYL12B,9.411467,0.5745179,4.892626472091305e-21,1.7548667095103745e-19
PLP2,9.4088125,0.8629965,5.017739665421223e-21,1.7915611396310776e-19
ORAI3,9.22765,1.891406,2.766352894839573e-20,9.326052355778904e-19
MCFD2,9.203879,0.80880344,3.452553741880895e-20,1.1589662240373688e-18
S100P,9.196148,5.103865,3.71011340916582e-20,1.2401251416594688e-18
